CDSCode,SchoolID,NCESDist,NCESSchool,StatusType,County,District,School,Street,StreetAbr,City,Zip,State,MailStreet,MailStrAbr,MailCity,MailZip,MailState,Phone,Ext,FaxNumber,WebSite,OpenDate,ClosedDate,Charter,CharterNum,FundingType,DOC,DOCType,SOC,SOCType,EdOpsCode,EdOpsName,EILCode,EILName,GSoffered,GSserved,Virtual,Magnet,YearRoundYN,FederalDFCDistrictID,Latitude,Longitude,AdmFName,AdmLName,LastUpDate,Multilingual
43693696046122,6046122,602310,8782,Active,Santa Clara,Alum Rock Union Elementary,Ben Painter Elementary,500 Rough and Ready Road,500 Rough and Ready Rd.,San Jose,95133-2068,CA,500 Rough and Ready Road,500 Rough and Ready Rd.,San Jose,95133-2068,CA,(408) 928-8400,No Data,(408) 928-8401,No Data,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-5,K-5,N,N,Y,No Data,37.37495,-121.84331,Joseph,Manluco,05/23/2025,Y
43693696046213,6046213,602310,108,Active,Santa Clara,Alum Rock Union Elementary,Linda Vista Elementary,100 Kirk Avenue,100 Kirk Ave.,San Jose,95127-2295,CA,100 Kirk Avenue,100 Kirk Ave.,San Jose,95127-2295,CA,(408) 928-7800,No Data,(408) 928-7801,No Data,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.376934,-121.82372,Suzanne,Cicala,08/09/2023,N
43693696046221,6046221,602310,109,Active,Santa Clara,Alum Rock Union Elementary,Lyndale Elementary,13901 Nordyke Drive,13901 Nordyke Dr.,San Jose,95127-3138,CA,13901 Nordyke Drive,13901 Nordyke Dr.,San Jose,95127-3138,CA,(408) 928-7900,No Data,(408) 928-7901,https://lyndale.arusd.org/,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.359746,-121.82492,Jacqueline,Montejano,06/18/2025,N
43693696046247,6046247,602310,106,Active,Santa Clara,Alum Rock Union Elementary,Aptitud Community Academy at Goss,2475 Van Winkle Lane,2475 Van Winkle Ln.,San Jose,95116-3758,CA,2475 Van Winkle Lane,2475 Van Winkle Ln.,San Jose,95116-3758,CA,(408) 928-7656,No Data,(408) 928-7651,https://aptitud.arusd.org/,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-8,N,N,N,No Data,37.34995,-121.8314,Suyen,Jimenez,06/16/2025,N
43693696046254,6046254,602310,112,Active,Santa Clara,Alum Rock Union Elementary,Millard McCollam Elementary,3311 Lucian Avenue,3311 Lucian Ave.,San Jose,95127-1544,CA,3311 Lucian Avenue,3311 Lucian Ave.,San Jose,95127-1544,CA,(408) 928-8000,No Data,(408) 928-8001,No Data,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.380472,-121.83312,Linda,Diaz Sepulveda,08/19/2025,N
43693696046270,6046270,602310,107,Active,Santa Clara,Alum Rock Union Elementary,O. S. Hubbard Elementary,1680 Foley Avenue,1680 Foley Ave.,San Jose,95122-2213,CA,1680 Foley Avenue,1680 Foley Ave.,San Jose,95122-2213,CA,(408) 928-7700,No Data,(408) 928-7701,https://hubbard.arusd.org/,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-8,N,N,N,No Data,37.330237,-121.83946,Sandra,Sarmiento,06/16/2025,N
43693696046304,6046304,602310,121,Active,Santa Clara,Alum Rock Union Elementary,San Antonio Elementary,1721 East San Antonio Street,1721 East San Antonio St.,San Jose,95116-3060,CA,1721 East San Antonio Street,1721 East San Antonio St.,San Jose,95116-3060,CA,(408) 928-8700,No Data,(408) 928-8701,https://sanantonio.arusd.org/,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.350025,-121.85234,Iris,Charest,06/16/2025,N
43693696046320,6046320,602310,120,Active,Santa Clara,Alum Rock Union Elementary,Thomas P. Ryan Elementary,1241 McGinness Avenue,1241 McGinness Ave.,San Jose,95127-4026,CA,1241 McGinness Avenue,1241 McGinness Ave.,San Jose,95127-4026,CA,(408) 928-8650,No Data,(408) 928-8651,No Data,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.350062,-121.82257,Clarissa,Johnston-Abril,08/09/2023,N
43693696046338,6046338,602310,122,Active,Santa Clara,Alum Rock Union Elementary,William Sheppard Middle,480 Rough and Ready Road,480 Rough and Ready Rd.,San Jose,95133-2422,CA,480 Rough and Ready Road,480 Rough and Ready Rd.,San Jose,95133-2422,CA,(408) 928-8800,No Data,(408) 928-8801,No Data,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,37.37451,-121.843,Doug,Kleinhenz,06/16/2025,N
43693696089270,6089270,602310,116,Active,Santa Clara,Alum Rock Union Elementary,Ocala Middle,2800 Ocala Avenue,2800 Ocala Ave.,San Jose,95148-1114,CA,2800 Ocala Avenue,2800 Ocala Ave.,San Jose,95148-1114,CA,(408) 928-8350,No Data,(408) 928-8351,https://ocala.arusd.org/,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,37.340385,-121.82046,Kelsey,White,06/18/2025,N
43693776046379,6046379,604800,462,Active,Santa Clara,Berryessa Union Elementary,Noble Elementary,3466 Grossmont Drive,3466 Grossmont Dr.,San Jose,95132-3119,CA,3466 Grossmont Drive,3466 Grossmont Dr.,San Jose,95132-3119,CA,(408) 923-1935,No Data,(408) 937-5006,No Data,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.396302,-121.8391,Krista,Castillou,08/18/2025,N
43693776046387,6046387,604800,463,Active,Santa Clara,Berryessa Union Elementary,Northwood Elementary,2760 East Trimble Road,2760 East Trimble Rd.,San Jose,95132-1055,CA,2760 East Trimble Road,2760 East Trimble Rd.,San Jose,95132-1055,CA,(408) 923-1940,No Data,(408) 942-9032,No Data,07/01/1965,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.40946,-121.88134,Eric,Witter,08/18/2025,N
43693776046395,6046395,604800,464,Active,Santa Clara,Berryessa Union Elementary,Piedmont Middle,955 Piedmont Road,955 Piedmont Rd.,San Jose,95132-2820,CA,955 Piedmont Road,955 Piedmont Rd.,San Jose,95132-2820,CA,(408) 923-1945,No Data,(408) 251-2392,No Data,07/01/1959,No Data,N,No Data,No Data,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,37.390727,-121.84264,Gregory,Barnes,08/02/2024,N
43693776067177,6067177,604800,465,Active,Santa Clara,Berryessa Union Elementary,Ruskin Elementary,1401 Turlock Lane,1401 Turlock Ln.,San Jose,95132-2347,CA,1401 Turlock Lane,1401 Turlock Ln.,San Jose,95132-2347,CA,(408) 923-1950,No Data,(408) 937-4846,No Data,07/01/1969,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.400282,-121.85589,Tina,Tong Choy,08/18/2025,N
43693776068928,6068928,604800,461,Active,Santa Clara,Berryessa Union Elementary,Morrill Middle,1970 Morrill Avenue,1970 Morrill Ave.,San Jose,95132-1637,CA,1970 Morrill Avenue,1970 Morrill Ave.,San Jose,95132-1637,CA,(408) 923-1930,No Data,(408) 946-0776,No Data,07/01/1971,No Data,N,No Data,No Data,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,37.410219,-121.87111,Mya,Duong,08/18/2025,N
43693776093033,6093033,604800,466,Active,Santa Clara,Berryessa Union Elementary,Sierramont Middle,3155 Kimlee Drive,3155 Kimlee Dr.,San Jose,95132-3605,CA,3155 Kimlee Drive,3155 Kimlee Dr.,San Jose,95132-3605,CA,(408) 923-1955,No Data,(408) 729-5840,No Data,07/01/1975,No Data,N,No Data,No Data,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,37.403132,-121.85593,Chris,Mosley,08/08/2024,Y
43693776093041,6093041,604800,469,Active,Santa Clara,Berryessa Union Elementary,Vinci Park Elementary,1311 Vinci Park Way,1311 Vinci Park Way,San Jose,95131-2792,CA,1311 Vinci Park Way,1311 Vinci Park Way,San Jose,95131-2792,CA,(408) 923-1970,No Data,(408) 254-3790,No Data,07/01/1975,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.380943,-121.87333,Parisa,Nunez,02/09/2023,N
43693776095335,6095335,604800,457,Active,Santa Clara,Berryessa Union Elementary,Brooktree Elementary,1781 Olivetree Drive,1781 Olivetree Dr.,San Jose,95131-1933,CA,1781 Olivetree Drive,1781 Olivetree Dr.,San Jose,95131-1933,CA,(408) 923-1910,No Data,(408) 923-1635,No Data,07/01/1975,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.398513,-121.88005,Lakeisha,Blackshire,08/18/2025,N
43693776095343,6095343,604800,460,Active,Santa Clara,Berryessa Union Elementary,Majestic Way Elementary,1855 Majestic Way,1855 Majestic Way,San Jose,95132-1940,CA,1855 Majestic Way,1855 Majestic Way,San Jose,95132-1940,CA,(408) 923-1925,No Data,(408) 254-1315,No Data,07/01/1975,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.410648,-121.85723,Jannet,Odom,08/02/2024,N
43693776095350,6095350,604800,467,Active,Santa Clara,Berryessa Union Elementary,Summerdale Elementary,1100 Summerdale Drive,1100 Summerdale Dr.,San Jose,95132-2934,CA,1100 Summerdale Drive,1100 Summerdale Dr.,San Jose,95132-2934,CA,(408) 923-1960,No Data,(408) 937-4923,No Data,07/01/1975,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.389589,-121.85196,Samantha,Rainer,02/09/2023,N
43693850133439,0133439,607140,13993,Active,Santa Clara,Cambrian,Steindorf STEAM K-8 Magnet,3001 Ross Avenue,3001 Ross Ave.,San Jose,95124-2358,CA,3001 Ross Avenue,3001 Ross Ave.,San Jose,95124-2358,CA,(408) 377-3022,No Data,(408) 377-3093,www.cambriansd.org,08/15/2016,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,Y,N,No Data,37.266653,-121.92053,Trisha,Lee,08/20/2024,N
43693856046411,6046411,607140,650,Active,Santa Clara,Cambrian,Bagby Elementary,1840 Harris Avenue,1840 Harris Ave.,San Jose,95124-1125,CA,1840 Harris Avenue,1840 Harris Ave.,San Jose,95124-1125,CA,(408) 377-3882,No Data,(408) 377-8648,www.cambriansd.org,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.278715,-121.92193,Michael,Kretsch,02/09/2023,N
43694014330239,4330239,607230,8122,Active,Santa Clara,Campbell Union High,Leigh High,5210 Leigh Avenue,5210 Leigh Ave.,San Jose,95124-5616,CA,5210 Leigh Avenue,5210 Leigh Ave.,San Jose,95124-5616,CA,(408) 626-3405,No Data,(408) 265-7525,https://leigh.cuhsd.org/,07/01/1980,No Data,N,No Data,No Data,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,N,No Data,37.24331,-121.92258,Michelle,Steingart,07/10/2025,N
43694014330866,4330866,607230,8350,Active,Santa Clara,Campbell Union High,Branham High,1570 Branham Lane,1570 Branham Ln.,San Jose,95118-2201,CA,1570 Branham Lane,1570 Branham Ln.,San Jose,95118-2201,CA,(408) 626-3407,No Data,(408) 267-2676,www.branham.cuhsd.org,08/16/1999,No Data,N,No Data,No Data,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,N,No Data,37.254576,-121.89957,Beth,Silbergeld,07/01/2024,N
43694014331955,4331955,607230,665,Active,Santa Clara,Campbell Union High,Del Mar High,1224 Del Mar Avenue,1224 Del Mar Ave.,San Jose,95128-3529,CA,1224 Del Mar Avenue,1224 Del Mar Ave.,San Jose,95128-3529,CA,(408) 626-3403,No Data,(408) 295-9476,www.delmar.cuhsd.org,07/01/1980,No Data,N,No Data,No Data,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,N,No Data,37.303262,-121.9303,Diana,Nguyen,07/01/2024,N
43694196046882,6046882,610290,1142,Active,Santa Clara,Cupertino Union,Joaquin Miller Middle,6151 Rainbow Drive,6151 Rainbow Dr.,San Jose,95129-4043,CA,6151 Rainbow Drive,6151 Rainbow Dr.,San Jose,95129-4043,CA,(408) 252-3755,No Data,(408) 255-5269,No Data,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,37.301254,-122.0121,Anu,Iyer,07/31/2023,Y
43694196046908,6046908,610290,1144,Active,Santa Clara,Cupertino Union,John Muir Elementary,6560 Hanover Drive,6560 Hanover Dr.,San Jose,95129-3832,CA,6560 Hanover Drive,6560 Hanover Dr.,San Jose,95129-3832,CA,(408) 252-5265,No Data,(408) 253-3116,No Data,07/01/1957,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.300409,-122.01946,Jonathan,Mach,08/19/2025,Y
43694196046965,6046965,610290,1128,Active,Santa Clara,Cupertino Union,Manuel De Vargas Elementary,5050 Moorpark Avenue,5050 Moorpark Ave.,San Jose,95129-2136,CA,5050 Moorpark Avenue,5050 Moorpark Ave.,San Jose,95129-2136,CA,(408) 252-0303,No Data,(408) 253-4962,No Data,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.310596,-121.99102,Kerstin,Johnson,08/21/2024,N
43694196047005,6047005,610290,1129,Active,Santa Clara,Cupertino Union,Nelson S. Dilworth Elementary,1101 Strayer Drive,1101 Strayer Dr.,San Jose,95129-4065,CA,1101 Strayer Drive,1101 Strayer Dr.,San Jose,95129-4065,CA,(408) 253-2850,No Data,(408) 366-0743,No Data,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.306291,-122.00688,Sarah,Kurdziel,07/31/2023,N
43694196047039,6047039,610290,5406,Active,Santa Clara,Cupertino Union,Murdock-Portal Elementary,1188 Wunderlich Drive,1188 Wunderlich Dr.,San Jose,95129-3163,CA,1188 Wunderlich Drive,1188 Wunderlich Dr.,San Jose,95129-3163,CA,(408) 973-8191,No Data,(408) 973-8259,No Data,09/01/1995,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.30381,-121.99952,Alison,Luvara,02/09/2023,N
43694274330015,4330015,611820,1310,Active,Santa Clara,East Side Union High,Yerba Buena High,1855 Lucretia Avenue,1855 Lucretia Ave.,San Jose,95122-3730,CA,1855 Lucretia Avenue,1855 Lucretia Ave.,San Jose,95122-3730,CA,(408) 347-4700,No Data,(408) 347-4715,http://yerbabuena.esuhsd.org/,07/01/1971,No Data,N,No Data,No Data,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,C,Y,N,No Data,37.320791,-121.84831,Lyra,Hua,07/07/2025,N
43694274330023,4330023,611820,1308,Active,Santa Clara,East Side Union High,Santa Teresa High,6150 Snell Road,6150 Snell Rd.,San Jose,95123-4740,CA,6150 Snell Road,6150 Snell Rd.,San Jose,95123-4740,CA,(408) 347-6200,No Data,(408) 347-6215,http://santateresa.esuhsd.org/,07/01/1974,No Data,N,No Data,No Data,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,C,Y,N,No Data,37.235085,-121.8305,Truc,Chau,07/07/2025,N
43694274330031,4330031,611820,1302,Active,Santa Clara,East Side Union High,Independence High,617 North Jackson Avenue,617 North Jackson Ave.,San Jose,95133-1703,CA,617 North Jackson Avenue,617 North Jackson Ave.,San Jose,95133-1703,CA,(408) 928-9500,No Data,(408) 928-9515,http://independence.esuhsd.org/,07/01/1976,No Data,N,No Data,No Data,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,C,Y,N,No Data,37.370953,-121.85602,Amy,Hanna,07/07/2025,N
43694274330692,4330692,611820,10665,Active,Santa Clara,East Side Union High,Evergreen Valley High,3300 Quimby Road,3300 Quimby Rd.,San Jose,95148-3122,CA,3300 Quimby Road,3300 Quimby Rd.,San Jose,95148-3122,CA,(408) 347-7000,No Data,(408) 347-7005,http://evergreenvalley.esuhsd.org/,08/27/2002,No Data,N,No Data,No Data,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,C,N,N,No Data,37.325201,-121.77866,Shelby,Edwards,08/22/2024,N
43694274332995,4332995,611820,1301,Active,Santa Clara,East Side Union High,Andrew P. Hill High,3200 Senter Road,3200 Senter Rd.,San Jose,95111-1332,CA,3200 Senter Road,3200 Senter Rd.,San Jose,95111-1332,CA,(408) 347-4100,No Data,(408) 347-4115,http://andrewphill.esuhsd.org/,07/01/1956,No Data,N,No Data,No Data,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,C,Y,N,No Data,37.291923,-121.83173,Jose,Hernandez,02/09/2023,N
43694274333639,4333639,611820,1303,Active,Santa Clara,East Side Union High,James Lick High,57 North White Road,57 North White Rd.,San Jose,95127-1933,CA,57 North White Road,57 North White Rd.,San Jose,95127-1933,CA,(408) 347-4400,No Data,(408) 347-4415,http://jameslick.esuhsd.org/,07/01/1950,No Data,N,No Data,No Data,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,C,Y,N,No Data,37.368046,-121.83009,Gubuan,Honey,02/09/2023,N
43694274334900,4334900,611820,1304,Active,Santa Clara,East Side Union High,Mt. Pleasant High,1750 South White Road,1750 South White Rd.,San Jose,95127-4760,CA,1750 South White Road,1750 South White Rd.,San Jose,95127-4760,CA,(408) 937-2800,No Data,(408) 937-2815,http://mtpleasant.esuhsd.org/,07/01/1965,No Data,N,No Data,No Data,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,C,Y,N,No Data,37.345646,-121.80948,Adriana,Rangel,02/09/2023,N
43694274335204,4335204,611820,1305,Active,Santa Clara,East Side Union High,Oak Grove High,285 Blossom Hill Road,285 Blossom Hill Rd.,San Jose,95123-2048,CA,285 Blossom Hill Road,285 Blossom Hill Rd.,San Jose,95123-2048,CA,(408) 347-6500,No Data,(408) 347-6505,http://oakgrove.esuhsd.org/,07/01/1967,No Data,N,No Data,No Data,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,C,Y,N,No Data,37.251575,-121.81892,Martha,Brazil,02/09/2023,N
43694274335428,4335428,611820,1306,Active,Santa Clara,East Side Union High,William C. Overfelt High,1835 Cunningham Avenue,1835 Cunningham Ave.,San Jose,95122-1712,CA,1835 Cunningham Avenue,1835 Cunningham Ave.,San Jose,95122-1712,CA,(408) 347-5900,No Data,(408) 347-5915,http://williamcoverfelt.esuhsd.org/,07/01/1962,No Data,N,No Data,No Data,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,C,Y,N,No Data,37.330593,-121.82838,Vito,Chiala,02/09/2023,N
43694274335907,4335907,611820,1307,Active,Santa Clara,East Side Union High,Piedmont Hills High,1377 Piedmont Road,1377 Piedmont Rd.,San Jose,95132-2497,CA,1377 Piedmont Road,1377 Piedmont Rd.,San Jose,95132-2497,CA,(408) 347-3800,No Data,(408) 347-3805,http://piedmonthills.esuhsd.org/,07/01/1965,No Data,N,No Data,No Data,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,C,Y,N,No Data,37.403788,-121.84899,Nancy,Pereira,08/22/2024,N
43694274337903,4337903,611820,1309,Active,Santa Clara,East Side Union High,Silver Creek High,3434 Silver Creek Road,3434 Silver Creek Rd.,San Jose,95121-1845,CA,3434 Silver Creek Road,3434 Silver Creek Rd.,San Jose,95121-1845,CA,(408) 347-5600,No Data,(408) 347-5615,http://silvercreek.esuhsd.org/,07/01/1969,No Data,N,No Data,No Data,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,C,Y,N,No Data,37.304331,-121.80831,Kelly,Daugherty,02/09/2023,N
43694350102616,0102616,613140,11451,Active,Santa Clara,Evergreen Elementary,Carolyn A. Clark Elementary,3701 Rue Mirassou Drive,3701 Rue Mirassou Dr.,San Jose,95148-4382,CA,3701 Rue Mirassou Drive,3701 Rue Mirassou Dr.,San Jose,95148-4382,CA,(408) 223-4560,No Data,(408) 223-4567,www.eesd.org,08/18/2004,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,N,No Data,37.321714,-121.76937,Loan,Dinh,08/08/2024,N
43694356047120,6047120,613140,1490,Active,Santa Clara,Evergreen Elementary,Cadwallader Elementary,3799 Cadwallader Avenue,3799 Cadwallader Ave.,San Jose,95121-1114,CA,3799 Cadwallader Avenue,3799 Cadwallader Ave.,San Jose,95121-1114,CA,(408) 270-4950,No Data,(408) 223-4839,No Data,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,N,No Data,37.306698,-121.78763,Jennifer,Diehl,08/08/2024,N
43694356047138,6047138,613140,1492,Active,Santa Clara,Evergreen Elementary,Evergreen Elementary,3010 Fowler Road,3010 Fowler Rd.,San Jose,95135-1017,CA,3010 Fowler Road,3010 Fowler Rd.,San Jose,95135-1017,CA,(408) 270-4966,No Data,(408) 270-4968,No Data,07/01/1955,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,N,No Data,37.310525,-121.77793,Diana,Nakano,08/08/2024,N
