ID,school,school_name,city,address,lat,lon,ndvi_mean,nlcd_canopy_mean,nlcd_high_canopy_frac,percent_eligible_frpm_k12
43693696046122,Ben Painter Elementary,Ben Painter Elementary,San Jose,500 Rough and Ready Road,37.37495,-121.84331,0.1935860287098494,0.7743318689364819,0.063293977667948,0.519
43693696046213,Linda Vista Elementary,Linda Vista Elementary,San Jose,100 Kirk Avenue,37.376934,-121.82372,0.3011501411404388,5.70786979621909,0.327550464719315,0.682
43693696046221,Lyndale Elementary,Lyndale Elementary,San Jose,13901 Nordyke Drive,37.359746,-121.82492,0.2350044538625825,2.1620429270971577,0.1634158619742803,0.8290000000000001
43693696046247,Aptitud Community Academy at Goss,Aptitud Community Academy at Goss,San Jose,2475 Van Winkle Lane,37.34995,-121.8314,0.2377932483265577,2.415675883467421,0.1894478157005958,0.8909999999999999
43693696046254,Millard McCollam Elementary,Millard McCollam Elementary,San Jose,3311 Lucian Avenue,37.380472,-121.83312,0.2430768539421881,2.8113691070006688,0.1580069741261749,0.535
43693696046270,O. S. Hubbard Elementary,O. S. Hubbard Elementary,San Jose,1680 Foley Avenue,37.330237,-121.83946,0.2471577287960105,4.221745239195802,0.3184807531246711,0.85
43693696046304,San Antonio Elementary,San Antonio Elementary,San Jose,1721 East San Antonio Street,37.350025,-121.85234,0.2563532179313291,3.3165517998846763,0.2518511399727248,0.917
43693696046320,Thomas P. Ryan Elementary,Thomas P. Ryan Elementary,San Jose,1241 McGinness Avenue,37.350062,-121.82257,0.2179209292972394,2.3433251110917896,0.1626447854361068,0.838
43693696046338,William Sheppard Middle,William Sheppard Middle,San Jose,480 Rough and Ready Road,37.37451,-121.843,0.1901970703148132,0.7648854333032828,0.0643513836325445,0.7140000000000001
43693696089270,Ocala Middle,Ocala Middle,San Jose,2800 Ocala Avenue,37.340385,-121.82046,0.1940156868822944,0.940591204697418,0.0784657418891273,0.7929999999999999
43693776046379,Noble Elementary,Noble Elementary,San Jose,3466 Grossmont Drive,37.396302,-121.8391,0.2990997112881205,4.454307484612043,0.2871244536988309,0.235
43693776046387,Northwood Elementary,Northwood Elementary,San Jose,2760 East Trimble Road,37.40946,-121.88134,0.2490345340222894,3.2528430542525677,0.2345102166899297,0.133
43693776046395,Piedmont Middle,Piedmont Middle,San Jose,955 Piedmont Road,37.390727,-121.84264,0.2941015132866762,2.739624472013875,0.1806204494803656,0.34
43693776067177,Ruskin Elementary,Ruskin Elementary,San Jose,1401 Turlock Lane,37.400282,-121.85589,0.2864729648530313,1.5819799288862042,0.1354777300329942,0.155
43693776068928,Morrill Middle,Morrill Middle,San Jose,1970 Morrill Avenue,37.410219,-121.87111,0.3018334732200401,3.883910470847193,0.2637092087259346,0.349
43693776093033,Sierramont Middle,Sierramont Middle,San Jose,3155 Kimlee Drive,37.403132,-121.85593,0.2797746167673364,1.846084847375406,0.1474486293533476,0.248
43693776093041,Vinci Park Elementary,Vinci Park Elementary,San Jose,1311 Vinci Park Way,37.380943,-121.87333,0.2953364285973286,4.672835523094314,0.2716768031777848,0.312
43693776095335,Brooktree Elementary,Brooktree Elementary,San Jose,1781 Olivetree Drive,37.398513,-121.88005,0.2927551849416704,4.391609959683506,0.2790029333565194,0.406
43693776095343,Majestic Way Elementary,Majestic Way Elementary,San Jose,1855 Majestic Way,37.410648,-121.85723,0.3002291455588655,3.4022258934005745,0.2279618705924886,0.299
43693776095350,Summerdale Elementary,Summerdale Elementary,San Jose,1100 Summerdale Drive,37.389589,-121.85196,0.2739594238606387,2.349410327168884,0.173570209280082,0.3829999999999999
43693850133439,Steindorf STEAM K-8 Magnet,Steindorf STEAM K-8 Magnet,San Jose,3001 Ross Avenue,37.266653,-121.92053,0.2581445589848862,4.665632393792533,0.344801863521745,0.047
43693856046411,Bagby Elementary,Bagby Elementary,San Jose,1840 Harris Avenue,37.278715,-121.92193,0.3642885863131826,10.885176354292044,0.6636751804273507,0.149
43694014330239,Leigh High,Leigh High,San Jose,5210 Leigh Avenue,37.24331,-121.92258,0.3229647574363942,4.150028373727759,0.2946748919967782,0.18
43694014330866,Branham High,Branham High,San Jose,1570 Branham Lane,37.254576,-121.89957,0.2534277876526712,4.939094657739253,0.3513727500308921,0.314
43694014331955,Del Mar High,Del Mar High,San Jose,1224 Del Mar Avenue,37.303262,-121.9303,0.2640152694456822,3.868341326792121,0.2689692099289741,0.696
43694196046882,Joaquin Miller Middle,Joaquin Miller Middle,San Jose,6151 Rainbow Drive,37.301254,-122.0121,0.32760157938829,5.30446442873161,0.3649664767396629,0.135
43694196046908,John Muir Elementary,John Muir Elementary,San Jose,6560 Hanover Drive,37.300409,-122.01946,0.3185531321230339,6.315208735686886,0.4403540406213097,0.084
43694196046965,Manuel De Vargas Elementary,Manuel De Vargas Elementary,San Jose,5050 Moorpark Avenue,37.310596,-121.99102,0.309196268718652,6.2394799346486005,0.4251456448416783,0.449
43694196047005,Nelson S. Dilworth Elementary,Nelson S. Dilworth Elementary,San Jose,1101 Strayer Drive,37.306291,-122.00688,0.3486610746529754,9.723137262080735,0.5977373929677953,0.196
43694196047039,Murdock-Portal Elementary,Murdock-Portal Elementary,San Jose,1188 Wunderlich Drive,37.30381,-121.99952,0.3549046214992253,8.648189506828249,0.5026544136491782,0.085
43694274330015,Yerba Buena High,Yerba Buena High,San Jose,1855 Lucretia Avenue,37.320791,-121.84831,0.2980355139050638,6.257593300231104,0.3381964624854128,0.619
43694274330023,Santa Teresa High,Santa Teresa High,San Jose,6150 Snell Road,37.235085,-121.8305,0.2748008222244516,4.246795267842841,0.3264090066588865,0.2789999999999999
43694274330031,Independence High,Independence High,San Jose,617 North Jackson Avenue,37.370953,-121.85602,0.2776473435969153,2.374533206414293,0.1488293549095702,0.47
43694274330692,Evergreen Valley High,Evergreen Valley High,San Jose,3300 Quimby Road,37.325201,-121.77866,0.2651982604646718,2.7301940325828298,0.2081640124473732,0.2239999999999999
43694274332995,Andrew P. Hill High,Andrew P. Hill High,San Jose,3200 Senter Road,37.291923,-121.83173,0.2511421978224755,3.5348356154353078,0.2429386029142563,0.6759999999999999
43694274333639,James Lick High,James Lick High,San Jose,57 North White Road,37.368046,-121.83009,0.222037574776511,0.9559242139947828,0.0719097524140771,0.6579999999999999
43694274334900,Mt. Pleasant High,Mt. Pleasant High,San Jose,1750 South White Road,37.345646,-121.80948,0.239037705945519,1.339377242439775,0.099340082009226,0.625
43694274335204,Oak Grove High,Oak Grove High,San Jose,285 Blossom Hill Road,37.251575,-121.81892,0.3130028713816623,6.061873032144688,0.4119361865709893,0.562
43694274335428,William C. Overfelt High,William C. Overfelt High,San Jose,1835 Cunningham Avenue,37.330593,-121.82838,0.2258097026509024,0.9305265084776788,0.08133080108917,0.627
43694274335907,Piedmont Hills High,Piedmont Hills High,San Jose,1377 Piedmont Road,37.403788,-121.84899,0.2789684139539658,2.9825183625838028,0.2091343843672059,0.301
43694274337903,Silver Creek High,Silver Creek High,San Jose,3434 Silver Creek Road,37.304331,-121.80831,0.2570397041352256,3.213433525694123,0.2139277754641599,0.446
43694350102616,Carolyn A. Clark Elementary,Carolyn A. Clark Elementary,San Jose,3701 Rue Mirassou Drive,37.321714,-121.76937,0.306681030220358,6.104083911475586,0.4554815208039682,0.183
43694356047120,Cadwallader Elementary,Cadwallader Elementary,San Jose,3799 Cadwallader Avenue,37.306698,-121.78763,0.3018454486073365,4.8367138659808,0.2924084464499831,0.433
43694356047138,Evergreen Elementary,Evergreen Elementary,San Jose,3010 Fowler Road,37.310525,-121.77793,0.3173600565327349,8.369530992567636,0.508645150660857,0.153
43694356047146,Holly Oak Elementary,Holly Oak Elementary,San Jose,2995 Rossmore Way,37.31875,-121.79765,0.2567300797742412,2.532685601310718,0.1830109928331487,0.537
43694356047153,Katherine R. Smith Elementary,Katherine R. Smith Elementary,San Jose,2025 Clarice Drive,37.326253,-121.82206,0.2021007122133982,0.9972265700085128,0.0792029363575619,0.737
43694356047161,O. B. Whaley Elementary,O. B. Whaley Elementary,San Jose,2655 Alvin Avenue,37.31619,-121.82424,0.2254944041613941,2.9071912056127363,0.2151961300302512,0.679
43694356047179,Quimby Oak Middle,Quimby Oak Middle,San Jose,3190 Quimby Road,37.324774,-121.78708,0.267039736345433,3.0963133134415783,0.2254800563803107,0.305
43694356067193,Cedar Grove Elementary,Cedar Grove Elementary,San Jose,2702 Sugar Plum Drive,37.331164,-121.79361,0.2472358823032691,2.188434714162807,0.1710218016072049,0.483
43694356085690,George V. LeyVa Intermediate,George V. LeyVa Intermediate,San Jose,1865 Monrovia Drive,37.314281,-121.81263,0.2170410809475187,1.5715024484005309,0.118058670083749,0.617
43694356095988,John J. Montgomery Elementary,John J. Montgomery Elementary,San Jose,2010 Daniel Maloney Drive,37.307734,-121.80108,0.2813691842186181,3.819501144164759,0.2392997711670479,0.589
43694356102081,Norwood Creek Elementary,Norwood Creek Elementary,San Jose,3241 Remington Way,37.328173,-121.78862,0.2577636850973359,3.131203207087811,0.2285370407658936,0.27
43694356105787,Millbrook Elementary,Millbrook Elementary,San Jose,3200 Millbrook Drive,37.319487,-121.78805,0.2643509671441838,2.704148971223548,0.2205050523541041,0.308
43694356110159,Chaboya Middle,Chaboya Middle,San Jose,3276 Cortona Drive,37.312333,-121.768,0.3019870580040032,5.956586408424599,0.4557603328100759,0.1639999999999999
43694356111942,Silver Oak Elementary,Silver Oak Elementary,San Jose,5000 Farnsworth Drive,37.284241,-121.77369,0.388603544750782,11.677253713856828,0.7231288843326956,0.087
43694356115851,Tom Matsumoto Elementary,Tom Matsumoto Elementary,San Jose,4121 Mackin Woods Lane,37.312017,-121.76502,0.3076218655436465,4.624177383186125,0.3709075099537777,0.133
43694356117956,James Franklin Smith Elementary,James Franklin Smith Elementary,San Jose,2220 Woodbury Lane,37.297368,-121.78799,0.3244294716500884,7.324842571575015,0.476422347514095,0.1009999999999999
43694500127225,College Connection Academy,College Connection Academy,San Jose,1855 Lucretia Avenue,37.320115,-121.84751,0.3037690370131302,7.016433880061507,0.3783545068463059,0.653
43694506047195,Franklin Elementary,Franklin Elementary,San Jose,420 Tully Road,37.305453,-121.85107,0.1562397521606057,1.286834192931313,0.0991108080526101,0.8079999999999999
43694506047211,Captain Jason M. Dahl Elementary,Captain Jason M. Dahl Elementary,San Jose,3200 Water Street,37.288155,-121.84003,0.2599466980161231,2.4533019083794785,0.1918401903803029,0.856
43694506047229,Bridges Academy,Bridges Academy,San Jose,1702 Mclaughlin Avenue,37.325456,-121.84646,0.2445484623437406,3.0357955143488664,0.231018813009395,0.894
43694506047237,G. W. Hellyer Elementary,G. W. Hellyer Elementary,San Jose,725 Hellyer Ave,37.284831,-121.82029,0.2804907323619234,3.4344173020071582,0.2388178548220284,0.789
43694506047245,Jeanne R. Meadows Elementary,Jeanne R. Meadows Elementary,San Jose,1250 Taper Lane,37.320969,-121.83953,0.2364188728089354,3.763746195913324,0.2472507608173352,0.8109999999999999
43694506047252,Santee Elementary,Santee Elementary,San Jose,1313 Audubon Drive,37.328062,-121.84671,0.2475463752759518,3.663273805709893,0.2735036476306419,0.899
43694506047260,Lairon College Preparatory Academy,Lairon College Preparatory Academy,San Jose,3975 Mira Loma,37.28238,-121.82885,0.2440767678099097,4.052794888927535,0.3021518859894007,0.818
43694506047278,Sylvandale Middle,Sylvandale Middle,San Jose,653 Sylvandale Avenue,37.287864,-121.82531,0.2495470723375286,3.007473342181136,0.2123198022973776,0.745
43694506067201,Robert F. Kennedy Elementary,Robert F. Kennedy Elementary,San Jose,1602 Lucretia Avenue,37.324997,-121.8524,0.2710272399743727,3.884850010296774,0.2343683499988557,0.903
43694506071542,Stonegate Elementary,Stonegate Elementary,San Jose,2605 Gassmann Drive,37.308515,-121.83635,0.3171407078611223,5.477660572500743,0.2690707731734664,0.76
43694506105795,Windmill Springs Elementary,Windmill Springs Elementary,San Jose,2880 Aetna Way,37.306212,-121.82428,0.242985653307488,2.2797025171624714,0.1796109839816933,0.747
43694506115943,"Shirakawa (George, Sr.) Elementary","Shirakawa (George, Sr.) Elementary",San Jose,665 Wool Creek Drive,37.316085,-121.84974,0.3243806891367073,8.73943326804445,0.3731031137308025,0.8270000000000001
43694684334421,Lynbrook High,Lynbrook High,San Jose,1280 Johnson Avenue,37.300713,-122.00647,0.3214283974554819,5.45351785240305,0.3761452355455486,0.065
43695186047500,Springer Elementary,Springer Elementary,Mountain View,1120 Rose Avenue,37.371011,-122.09402,0.390409137942897,14.395665246461308,0.799508496062019,0.049
43695426047575,Luther Burbank Elementary,Luther Burbank Elementary,San Jose,4 Wabash Avenue,37.323556,-121.9267,0.2586019547394967,4.851830833794799,0.3657228372546418,0.6970000000000001
43695750129940,Latimer,Latimer,San Jose,4250 Latimer Avenue,37.292391,-121.97803,0.2991399035165134,6.364511685589675,0.4331836882256296,0.475
43695756047740,Country Lane Elementary,Country Lane Elementary,San Jose,5140 Country Lane,37.298472,-121.99193,0.3996876248348738,14.838393314783618,0.8127150911620412,0.3
43695756047765,Easterbrook Discovery,Easterbrook Discovery,San Jose,4835 Doyle Road,37.303397,-121.98663,0.3555185762136743,8.63548373810734,0.548515676125885,0.222
43695756047781,Moreland Middle,Moreland Middle,San Jose,4600 Student Lane,37.290191,-121.98411,0.2900739933475482,5.968739274289868,0.3874115057409717,0.3829999999999999
43695756047799,George C. Payne Elementary,George C. Payne Elementary,San Jose,3750 Gleason Avenue,37.297438,-121.96742,0.3142873340947906,7.896098190504957,0.524996110089056,0.314
43695756047807,Gussie M. Baker Elementary,Gussie M. Baker Elementary,San Jose,4845 Bucknall Road,37.283415,-121.98712,0.3137287371268542,5.732385406751121,0.3998544702350443,0.19
43695756047831,Leroy Anderson Elementary,Leroy Anderson Elementary,San Jose,4000 Rhoda Drive,37.30466,-121.9715,0.2862567184663933,6.698079704175588,0.4657815732147107,0.8540000000000001
43695836095392,Los Paseos Elementary,Los Paseos Elementary,San Jose,121 Avenida Grande,37.228983,-121.76739,0.3714588163673483,7.69120372700938,0.4725439676357928,0.4039999999999999
43695836100325,Martin Murphy Middle,Martin Murphy Middle,San Jose,141 Avenida Espana,37.225583,-121.76693,0.3501974305783449,6.033472918239859,0.4040822864465344,0.455
43695910132373,Gabriela Mistral Elementary,Gabriela Mistral Elementary,Mountain View,505 Escuela Avenue,37.394899,-122.09414,0.2684578986202497,7.391247242739595,0.4739604785048097,0.484
43695910138750,Jose Antonio Vargas Elementary,Jose Antonio Vargas Elementary,Mountain View,220 North Whisman Road,37.393904,-122.06109,0.3501881933887706,12.115763558069393,0.6499498908581703,0.2339999999999999
43695916047955,Benjamin Bubb Elementary,Benjamin Bubb Elementary,Mountain View,525 Hans Avenue,37.379144,-122.08176,0.3424238266325743,11.088938314318272,0.6691699731363641,0.173
43695916047963,Edith Landels Elementary,Edith Landels Elementary,Mountain View,115 West Dana Street,37.388743,-122.07055,0.3371999422318217,11.478689079783804,0.5912321569955562,0.211
43695916047971,Amy Imai Elementary,Amy Imai Elementary,Mountain View,253 Martens Avenue,37.375266,-122.07434,0.343816802810272,10.583015664541762,0.6061990032903316,0.111
43695916047989,Isaac Newton Graham Middle,Isaac Newton Graham Middle,Mountain View,1175 Castro Street,37.381793,-122.086,0.3505625076706277,10.437931618377275,0.6267339102737188,0.263
43695916048003,Mariano Castro Elementary,Mariano Castro Elementary,Mountain View,500 Toft Street,37.394025,-122.09204,0.3127052359831195,9.713178223621586,0.6033718971955774,0.8270000000000001
